Time,Well,NADH
0 days 04:14:12,D3,0.4439980158730159
0 days 04:15:34,D3,0.4435515873015873
0 days 04:16:56,D3,0.4432043650793651
0 days 04:18:18,D3,0.44394841269841273
0 days 04:19:40,D3,0.44360119047619045
0 days 04:21:02,D3,0.44300595238095236
0 days 04:22:24,D3,0.44325396825396823
0 days 04:23:46,D3,0.44489087301587305
0 days 04:25:08,D3,0.4436507936507936
0 days 04:26:30,D3,0.4431051587301587
0 days 04:27:52,D3,0.4425099206349207
0 days 04:29:14,D3,0.4423611111111111
0 days 04:30:36,D3,0.44186507936507935
0 days 04:31:58,D3,0.4422123015873015
0 days 04:33:20,D3,0.4415674603174603
0 days 04:34:42,D3,0.4404265873015873
0 days 04:36:04,D3,0.4418154761904762
0 days 04:37:26,D3,0.43998015873015867
0 days 04:38:48,D3,0.4396329365079365
0 days 04:40:10,D3,0.44067460317460316
0 days 04:41:32,D3,0.44087301587301586
0 days 04:42:54,D3,0.4392361111111111
0 days 04:44:16,D3,0.441468253968254
0 days 04:45:38,D3,0.43993055555555555
0 days 04:47:00,D3,0.43948412698412703
0 days 04:48:22,D3,0.44012896825396824
0 days 04:49:44,D3,0.4393353174603174
0 days 04:51:06,D3,0.4395337301587302
0 days 04:52:28,D3,0.44012896825396824
0 days 04:53:50,D3,0.4395337301587302
0 days 04:55:12,D3,0.43869047619047624
0 days 04:56:34,D3,0.4379464285714286
0 days 04:57:56,D3,0.43834325396825397
0 days 04:59:18,D3,0.43740079365079365
0 days 05:00:40,D3,0.4380456349206349
0 days 05:02:02,D3,0.4383928571428571
0 days 05:03:24,D3,0.4368055555555555
0 days 05:04:46,D3,0.4360119047619047
0 days 05:06:08,D3,0.4375992063492063
0 days 05:07:30,D3,0.4358630952380952
0 days 05:08:52,D3,0.43630952380952376
0 days 05:10:14,D3,0.4364583333333333
0 days 05:11:36,D3,0.43710317460317455
0 days 05:12:58,D3,0.4369047619047619
0 days 05:14:20,D3,0.43551587301587297
0 days 05:15:42,D3,0.4353174603174603
0 days 05:17:04,D3,0.43452380952380953
0 days 05:18:26,D3,0.43492063492063493
0 days 05:19:48,D3,0.4357142857142857
0 days 05:21:10,D3,0.43551587301587297
0 days 05:22:32,D3,0.4347718253968254
0 days 05:23:54,D3,0.4347718253968254
0 days 05:25:16,D3,0.4339285714285715
0 days 05:26:38,D3,0.43432539682539684
0 days 05:28:00,D3,0.43432539682539684
0 days 05:29:22,D3,0.4348214285714286
0 days 05:30:44,D3,0.4341765873015873
0 days 05:32:06,D3,0.4329365079365079
0 days 05:33:28,D3,0.4331349206349207
0 days 05:34:50,D3,0.43253968253968256
0 days 05:36:12,D3,0.43239087301587303
0 days 05:37:34,D3,0.4336309523809524
0 days 05:38:56,D3,0.43149801587301584
0 days 05:40:18,D3,0.4331349206349206
0 days 05:41:40,D3,0.4323412698412698
0 days 05:43:02,D3,0.4322420634920634
0 days 05:44:24,D3,0.4323412698412698
0 days 05:45:46,D3,0.43194444444444446
0 days 05:47:08,D3,0.4303571428571429
0 days 05:48:30,D3,0.4311507936507937
0 days 05:49:52,D3,0.42996031746031743
0 days 05:51:14,D3,0.430952380952381
0 days 05:52:36,D3,0.4311507936507937
0 days 05:53:58,D3,0.4307539682539682
0 days 05:55:20,D3,0.42996031746031743
0 days 05:56:42,D3,0.4301587301587302
0 days 05:58:04,D3,0.42966269841269844
0 days 05:59:26,D3,0.42976190476190473
0 days 06:00:48,D3,0.4303075396825397
0 days 06:02:10,D3,0.42896825396825394
0 days 06:03:32,D3,0.4287698412698413
0 days 06:04:54,D3,0.42896825396825394
0 days 06:06:16,D3,0.42966269841269844
0 days 06:07:38,D3,0.42827380952380956
0 days 06:09:00,D3,0.4290178571428572
0 days 06:10:22,D3,0.42921626984126976
0 days 06:11:44,D3,0.42817460317460315
0 days 06:13:06,D3,0.42817460317460315
0 days 06:14:28,D3,0.42738095238095236
0 days 06:15:50,D3,0.4276289682539682
0 days 06:17:12,D3,0.42738095238095236
0 days 06:18:34,D3,0.426686507936508
0 days 06:19:56,D3,0.42743055555555554
0 days 06:21:18,D3,0.42678571428571427
0 days 06:22:40,D3,0.4276785714285714
0 days 06:24:02,D3,0.42658730158730157
